run_key,family,capacity,policy,seed,status,error,scored_split_label,scored_windows,scored_requests,hits,misses,miss_ratio,evictions,full_trace_requests,full_trace_hits,full_trace_misses,runtime_sec
cloudphysics|32|mru|none,cloudphysics,32,mru,,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,1,8191,0.9998779296875,8191,50000,19,49981,0.07200173428282142
cloudphysics|32|random|0,cloudphysics,32,random,0,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,110,8082,0.986572265625,8082,50000,671,49329,0.0810398212634027
cloudphysics|32|random|1,cloudphysics,32,random,1,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,126,8066,0.984619140625,8066,50000,656,49344,0.08143032994121313
cloudphysics|32|random|10,cloudphysics,32,random,10,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,109,8083,0.9866943359375,8083,50000,652,49348,0.08327628299593925
cloudphysics|32|random|11,cloudphysics,32,random,11,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,121,8071,0.9852294921875,8071,50000,693,49307,0.08097914094105363
cloudphysics|32|random|12,cloudphysics,32,random,12,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,105,8087,0.9871826171875,8087,50000,656,49344,0.08762946119531989
cloudphysics|32|random|13,cloudphysics,32,random,13,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,99,8093,0.9879150390625,8093,50000,660,49340,0.0824765539728105
cloudphysics|32|random|14,cloudphysics,32,random,14,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,99,8093,0.9879150390625,8093,50000,634,49366,0.0791741730645299
cloudphysics|32|random|15,cloudphysics,32,random,15,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,105,8087,0.9871826171875,8087,50000,647,49353,0.08253308339044452
cloudphysics|32|random|16,cloudphysics,32,random,16,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,115,8077,0.9859619140625,8077,50000,686,49314,0.07985578197985888
cloudphysics|32|random|17,cloudphysics,32,random,17,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,122,8070,0.985107421875,8070,50000,693,49307,0.07938319630920887
cloudphysics|32|random|18,cloudphysics,32,random,18,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,112,8080,0.986328125,8080,50000,666,49334,0.07901783287525177
cloudphysics|32|random|19,cloudphysics,32,random,19,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,105,8087,0.9871826171875,8087,50000,670,49330,0.07752089109271765
cloudphysics|32|random|2,cloudphysics,32,random,2,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,108,8084,0.98681640625,8084,50000,690,49310,0.08076778706163168
cloudphysics|32|random|3,cloudphysics,32,random,3,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,119,8073,0.9854736328125,8073,50000,698,49302,0.07953561889007688
cloudphysics|32|random|4,cloudphysics,32,random,4,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,102,8090,0.987548828125,8090,50000,661,49339,0.07797055691480637
cloudphysics|32|random|5,cloudphysics,32,random,5,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,108,8084,0.98681640625,8084,50000,654,49346,0.07886751322075725
cloudphysics|32|random|6,cloudphysics,32,random,6,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,111,8081,0.9864501953125,8081,50000,675,49325,0.07829907117411494
cloudphysics|32|random|7,cloudphysics,32,random,7,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,122,8070,0.985107421875,8070,50000,674,49326,0.07827726192772388
cloudphysics|32|random|8,cloudphysics,32,random,8,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,115,8077,0.9859619140625,8077,50000,630,49370,0.09026150871068239
cloudphysics|32|random|9,cloudphysics,32,random,9,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,108,8084,0.98681640625,8084,50000,620,49380,0.08156002778559923
cloudphysics|32|sieve|none,cloudphysics,32,sieve,,complete,,test,"[[16384, 20479], [20480, 24575]]",8192,118,8074,0.985595703125,8074,50000,886,49114,0.1322531420737505
metacdn|128|lru|none,metacdn,128,lru,,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,9236,11244,0.5490234375,11116,50000,22189,27811,0.06640723533928394
metacdn|128|mru|none,metacdn,128,mru,,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,3060,17420,0.8505859375,17292,50000,7112,42888,0.07264312962070107
metacdn|128|random|0,metacdn,128,random,0,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,8952,11528,0.562890625,11400,50000,21443,28557,0.07432503066956997
metacdn|128|random|1,metacdn,128,random,1,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,8938,11542,0.56357421875,11414,50000,21404,28596,0.07671560114249587
metacdn|128|random|10,metacdn,128,random,10,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,8849,11631,0.567919921875,11503,50000,21333,28667,0.07267479412257671
metacdn|128|random|11,metacdn,128,random,11,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,8871,11609,0.566845703125,11481,50000,21343,28657,0.07283110776916146
metacdn|128|random|12,metacdn,128,random,12,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,8937,11543,0.563623046875,11415,50000,21446,28554,0.07363176625221968
metacdn|128|random|13,metacdn,128,random,13,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,8890,11590,0.56591796875,11462,50000,21379,28621,0.07472353801131248
metacdn|128|random|14,metacdn,128,random,14,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,8897,11583,0.565576171875,11455,50000,21325,28675,0.07489538611844182
metacdn|128|random|15,metacdn,128,random,15,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,8912,11568,0.56484375,11440,50000,21431,28569,0.07684731809422374
metacdn|128|random|16,metacdn,128,random,16,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,8886,11594,0.56611328125,11466,50000,21355,28645,0.07655835896730423
metacdn|128|random|17,metacdn,128,random,17,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,8908,11572,0.5650390625,11444,50000,21358,28642,0.05652784835547209
metacdn|128|random|18,metacdn,128,random,18,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,8896,11584,0.565625,11456,50000,21353,28647,0.07848664233461022
metacdn|128|random|19,metacdn,128,random,19,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,8866,11614,0.56708984375,11486,50000,21350,28650,0.07546337367966771
metacdn|128|random|2,metacdn,128,random,2,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,8919,11561,0.564501953125,11433,50000,21382,28618,0.07667737687006593
metacdn|128|random|3,metacdn,128,random,3,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,8949,11531,0.563037109375,11403,50000,21380,28620,0.07582471380010247
metacdn|128|random|4,metacdn,128,random,4,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,8876,11604,0.5666015625,11476,50000,21320,28680,0.055587155278772116
metacdn|128|random|5,metacdn,128,random,5,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,8881,11599,0.566357421875,11471,50000,21372,28628,0.07332756416872144
metacdn|128|random|6,metacdn,128,random,6,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,8915,11565,0.564697265625,11437,50000,21354,28646,0.07451051427051425
metacdn|128|random|7,metacdn,128,random,7,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,8902,11578,0.56533203125,11450,50000,21374,28626,0.07570819417014718
metacdn|128|random|8,metacdn,128,random,8,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,8903,11577,0.565283203125,11449,50000,21319,28681,0.07563077798113227
metacdn|128|random|9,metacdn,128,random,9,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,8877,11603,0.566552734375,11475,50000,21296,28704,0.05642931489273906
metacdn|128|sieve|none,metacdn,128,sieve,,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,9195,11285,0.551025390625,11157,50000,22203,27797,0.17654704488813877
metacdn|32|lru|none,metacdn,32,lru,,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,8619,11861,0.579150390625,11829,50000,20620,29380,0.07048440165817738
metacdn|32|mru|none,metacdn,32,mru,,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,3001,17479,0.853466796875,17447,50000,7042,42958,0.07631950778886676
metacdn|32|random|0,metacdn,32,random,0,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,8000,12480,0.609375,12448,50000,19060,30940,0.07736231898888946
metacdn|32|random|1,metacdn,32,random,1,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,7988,12492,0.6099609375,12460,50000,19049,30951,0.07803056621924043
metacdn|32|random|10,metacdn,32,random,10,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,7963,12517,0.611181640625,12485,50000,19062,30938,0.0751443887129426
metacdn|32|random|11,metacdn,32,random,11,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,7921,12559,0.613232421875,12527,50000,19017,30983,0.07612938992679119
metacdn|32|random|12,metacdn,32,random,12,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,7959,12521,0.611376953125,12489,50000,18999,31001,0.07700250810012221
metacdn|32|random|13,metacdn,32,random,13,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,7973,12507,0.610693359375,12475,50000,19030,30970,0.0778516260907054
metacdn|32|random|14,metacdn,32,random,14,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,7987,12493,0.610009765625,12461,50000,19031,30969,0.05914657609537244
metacdn|32|random|15,metacdn,32,random,15,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,7999,12481,0.609423828125,12449,50000,19080,30920,0.07468616403639317
metacdn|32|random|16,metacdn,32,random,16,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,8002,12478,0.60927734375,12446,50000,19082,30918,0.0754783651791513
metacdn|32|random|17,metacdn,32,random,17,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,8020,12460,0.6083984375,12428,50000,19097,30903,0.07643982488662004
metacdn|32|random|18,metacdn,32,random,18,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,7988,12492,0.6099609375,12460,50000,19068,30932,0.08006435399875045
metacdn|32|random|19,metacdn,32,random,19,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,7987,12493,0.610009765625,12461,50000,19082,30918,0.058861803729087114
metacdn|32|random|2,metacdn,32,random,2,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,7964,12516,0.6111328125,12484,50000,19019,30981,0.05798943666741252
metacdn|32|random|3,metacdn,32,random,3,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,7940,12540,0.6123046875,12508,50000,18982,31018,0.07719501340761781
metacdn|32|random|4,metacdn,32,random,4,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,7986,12494,0.61005859375,12462,50000,19073,30927,0.07678022515028715
metacdn|32|random|5,metacdn,32,random,5,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,7960,12520,0.611328125,12488,50000,19051,30949,0.07717668684199452
metacdn|32|random|6,metacdn,32,random,6,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,7968,12512,0.6109375,12480,50000,19014,30986,0.05702091567218304
metacdn|32|random|7,metacdn,32,random,7,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,8017,12463,0.608544921875,12431,50000,19089,30911,0.07402361696586013
metacdn|32|random|8,metacdn,32,random,8,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,7961,12519,0.611279296875,12487,50000,19054,30946,0.07568275695666671
metacdn|32|random|9,metacdn,32,random,9,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,8034,12446,0.60771484375,12414,50000,19105,30895,0.07461776211857796
metacdn|32|sieve|none,metacdn,32,sieve,,complete,,validation,"[[0, 4095], [24576, 32767], [36864, 45055]]",20480,8523,11957,0.583837890625,11925,50000,20268,29732,0.11363337887451053
metakv|128|lru|none,metakv,128,lru,,complete,,test,"[[0, 4095]]",4096,1110,2986,0.72900390625,2858,50000,12016,37984,0.07752129482105374
metakv|128|mru|none,metakv,128,mru,,complete,,test,"[[0, 4095]]",4096,854,3242,0.79150390625,3114,50000,9124,40876,0.08124029403552413
metakv|128|random|0,metakv,128,random,0,complete,,test,"[[0, 4095]]",4096,1168,2928,0.71484375,2800,50000,12076,37924,0.09102438390254974
metakv|128|random|1,metakv,128,random,1,complete,,test,"[[0, 4095]]",4096,1179,2917,0.712158203125,2789,50000,12102,37898,0.0940435491502285
metakv|128|random|10,metakv,128,random,10,complete,,test,"[[0, 4095]]",4096,1168,2928,0.71484375,2800,50000,12077,37923,0.08589365100488067
metakv|128|random|11,metakv,128,random,11,complete,,test,"[[0, 4095]]",4096,1167,2929,0.715087890625,2801,50000,12068,37932,0.08841348486021161
metakv|128|random|12,metakv,128,random,12,complete,,test,"[[0, 4095]]",4096,1172,2924,0.7138671875,2796,50000,12078,37922,0.06288685463368893
metakv|128|random|13,metakv,128,random,13,complete,,test,"[[0, 4095]]",4096,1172,2924,0.7138671875,2796,50000,12080,37920,0.08602136932313442
metakv|128|random|14,metakv,128,random,14,complete,,test,"[[0, 4095]]",4096,1175,2921,0.713134765625,2793,50000,12069,37931,0.08621547324582934
metakv|128|random|15,metakv,128,random,15,complete,,test,"[[0, 4095]]",4096,1169,2927,0.714599609375,2799,50000,12068,37932,0.061882464215159416
metakv|128|random|16,metakv,128,random,16,complete,,test,"[[0, 4095]]",4096,1163,2933,0.716064453125,2805,50000,12065,37935,0.0859249122440815
metakv|128|random|17,metakv,128,random,17,complete,,test,"[[0, 4095]]",4096,1169,2927,0.714599609375,2799,50000,12076,37924,0.08781604329124093
metakv|128|random|18,metakv,128,random,18,complete,,test,"[[0, 4095]]",4096,1175,2921,0.713134765625,2793,50000,12076,37924,0.06337507208809257
metakv|128|random|19,metakv,128,random,19,complete,,test,"[[0, 4095]]",4096,1179,2917,0.712158203125,2789,50000,12089,37911,0.08734454307705164
metakv|128|random|2,metakv,128,random,2,complete,,test,"[[0, 4095]]",4096,1182,2914,0.71142578125,2786,50000,12071,37929,0.06185541395097971
metakv|128|random|3,metakv,128,random,3,complete,,test,"[[0, 4095]]",4096,1168,2928,0.71484375,2800,50000,12081,37919,0.08650586474686861
metakv|128|random|4,metakv,128,random,4,complete,,test,"[[0, 4095]]",4096,1170,2926,0.71435546875,2798,50000,12074,37926,0.06291167391464114
metakv|128|random|5,metakv,128,random,5,complete,,test,"[[0, 4095]]",4096,1180,2916,0.7119140625,2788,50000,12083,37917,0.08541921339929104
metakv|128|random|6,metakv,128,random,6,complete,,test,"[[0, 4095]]",4096,1162,2934,0.71630859375,2806,50000,12067,37933,0.08847423596307635
metakv|128|random|7,metakv,128,random,7,complete,,test,"[[0, 4095]]",4096,1177,2919,0.712646484375,2791,50000,12092,37908,0.06405318574979901
metakv|128|random|8,metakv,128,random,8,complete,,test,"[[0, 4095]]",4096,1165,2931,0.715576171875,2803,50000,12066,37934,0.0867272736504674
metakv|128|random|9,metakv,128,random,9,complete,,test,"[[0, 4095]]",4096,1179,2917,0.712158203125,2789,50000,12077,37923,0.06240852503105998
metakv|128|sieve|none,metakv,128,sieve,,complete,,test,"[[0, 4095]]",4096,1236,2860,0.6982421875,2732,50000,12180,37820,0.21177923399955034
metakv|32|lru|none,metakv,32,lru,,complete,,test,"[[0, 4095]]",4096,1061,3035,0.740966796875,3003,50000,11936,38064,0.07909855199977756
metakv|32|mru|none,metakv,32,mru,,complete,,test,"[[0, 4095]]",4096,757,3339,0.815185546875,3307,50000,8966,41034,0.08240071730688214
metakv|32|random|0,metakv,32,random,0,complete,,test,"[[0, 4095]]",4096,1052,3044,0.7431640625,3012,50000,11783,38217,0.08952823281288147
metakv|32|random|1,metakv,32,random,1,complete,,test,"[[0, 4095]]",4096,1050,3046,0.74365234375,3014,50000,11756,38244,0.06170707708224654
metakv|32|random|10,metakv,32,random,10,complete,,test,"[[0, 4095]]",4096,1048,3048,0.744140625,3016,50000,11787,38213,0.08817614382132888
metakv|32|random|11,metakv,32,random,11,complete,,test,"[[0, 4095]]",4096,1046,3050,0.74462890625,3018,50000,11781,38219,0.06281750788912177
metakv|32|random|12,metakv,32,random,12,complete,,test,"[[0, 4095]]",4096,1045,3051,0.744873046875,3019,50000,11775,38225,0.08570455387234688
metakv|32|random|13,metakv,32,random,13,complete,,test,"[[0, 4095]]",4096,1043,3053,0.745361328125,3021,50000,11769,38231,0.08724602032452822
metakv|32|random|14,metakv,32,random,14,complete,,test,"[[0, 4095]]",4096,1041,3055,0.745849609375,3023,50000,11767,38233,0.06208592699840665
metakv|32|random|15,metakv,32,random,15,complete,,test,"[[0, 4095]]",4096,1046,3050,0.74462890625,3018,50000,11761,38239,0.08737308997660875
metakv|32|random|16,metakv,32,random,16,complete,,test,"[[0, 4095]]",4096,1051,3045,0.743408203125,3013,50000,11791,38209,0.06232976308092475
metakv|32|random|17,metakv,32,random,17,complete,,test,"[[0, 4095]]",4096,1040,3056,0.74609375,3024,50000,11771,38229,0.0852170791476965
metakv|32|random|18,metakv,32,random,18,complete,,test,"[[0, 4095]]",4096,1042,3054,0.74560546875,3022,50000,11779,38221,0.08714826265349984
metakv|32|random|19,metakv,32,random,19,complete,,test,"[[0, 4095]]",4096,1046,3050,0.74462890625,3018,50000,11752,38248,0.06244064308702946
metakv|32|random|2,metakv,32,random,2,complete,,test,"[[0, 4095]]",4096,1040,3056,0.74609375,3024,50000,11760,38240,0.08581466693431139
metakv|32|random|3,metakv,32,random,3,complete,,test,"[[0, 4095]]",4096,1043,3053,0.745361328125,3021,50000,11786,38214,0.08922625286504626
metakv|32|random|4,metakv,32,random,4,complete,,test,"[[0, 4095]]",4096,1057,3039,0.741943359375,3007,50000,11776,38224,0.06469210889190435
metakv|32|random|5,metakv,32,random,5,complete,,test,"[[0, 4095]]",4096,1049,3047,0.743896484375,3015,50000,11781,38219,0.08941464498639107
metakv|32|random|6,metakv,32,random,6,complete,,test,"[[0, 4095]]",4096,1046,3050,0.74462890625,3018,50000,11769,38231,0.06295824889093637
metakv|32|random|7,metakv,32,random,7,complete,,test,"[[0, 4095]]",4096,1047,3049,0.744384765625,3017,50000,11782,38218,0.08560938201844692
metakv|32|random|8,metakv,32,random,8,complete,,test,"[[0, 4095]]",4096,1050,3046,0.74365234375,3014,50000,11770,38230,0.08882879419252276
metakv|32|random|9,metakv,32,random,9,complete,,test,"[[0, 4095]]",4096,1054,3042,0.74267578125,3010,50000,11781,38219,0.06294405274093151
metakv|32|sieve|none,metakv,32,sieve,,complete,,test,"[[0, 4095]]",4096,1060,3036,0.7412109375,3004,50000,11855,38145,0.11851278599351645
twemcache|128|lru|none,twemcache,128,lru,,complete,,test,"[[32768, 36863], [40960, 45055]]",8192,3109,5083,0.6204833984375,5083,50000,18677,31323,0.08027460798621178
twemcache|128|mru|none,twemcache,128,mru,,complete,,test,"[[32768, 36863], [40960, 45055]]",8192,416,7776,0.94921875,7776,50000,2710,47290,0.05646238103508949
twemcache|128|random|0,twemcache,128,random,0,complete,,test,"[[32768, 36863], [40960, 45055]]",8192,2686,5506,0.672119140625,5506,50000,16264,33736,0.0908507090061903
twemcache|128|random|1,twemcache,128,random,1,complete,,test,"[[32768, 36863], [40960, 45055]]",8192,2748,5444,0.66455078125,5444,50000,16338,33662,0.06056587630882859
twemcache|128|random|10,twemcache,128,random,10,complete,,test,"[[32768, 36863], [40960, 45055]]",8192,2704,5488,0.669921875,5488,50000,16311,33689,0.09172449912875891
twemcache|128|random|11,twemcache,128,random,11,complete,,test,"[[32768, 36863], [40960, 45055]]",8192,2715,5477,0.6685791015625,5477,50000,16280,33720,0.059851315803825855
twemcache|128|random|12,twemcache,128,random,12,complete,,test,"[[32768, 36863], [40960, 45055]]",8192,2690,5502,0.671630859375,5502,50000,16301,33699,0.09179718606173992
twemcache|128|random|13,twemcache,128,random,13,complete,,test,"[[32768, 36863], [40960, 45055]]",8192,2697,5495,0.6707763671875,5495,50000,16334,33666,0.05953148379921913
twemcache|128|random|14,twemcache,128,random,14,complete,,test,"[[32768, 36863], [40960, 45055]]",8192,2729,5463,0.6668701171875,5463,50000,16327,33673,0.09187032980844378
twemcache|128|random|15,twemcache,128,random,15,complete,,test,"[[32768, 36863], [40960, 45055]]",8192,2715,5477,0.6685791015625,5477,50000,16253,33747,0.061121043749153614
twemcache|128|random|16,twemcache,128,random,16,complete,,test,"[[32768, 36863], [40960, 45055]]",8192,2695,5497,0.6710205078125,5497,50000,16197,33803,0.09213601890951395
twemcache|128|random|17,twemcache,128,random,17,complete,,test,"[[32768, 36863], [40960, 45055]]",8192,2744,5448,0.6650390625,5448,50000,16370,33630,0.06023699510842562
twemcache|128|random|18,twemcache,128,random,18,complete,,test,"[[32768, 36863], [40960, 45055]]",8192,2679,5513,0.6729736328125,5513,50000,16242,33758,0.09132932499051094
twemcache|128|random|19,twemcache,128,random,19,complete,,test,"[[32768, 36863], [40960, 45055]]",8192,2715,5477,0.6685791015625,5477,50000,16240,33760,0.06108508724719286
twemcache|128|random|2,twemcache,128,random,2,complete,,test,"[[32768, 36863], [40960, 45055]]",8192,2707,5485,0.6695556640625,5485,50000,16326,33674,0.05977714387699962
twemcache|128|random|3,twemcache,128,random,3,complete,,test,"[[32768, 36863], [40960, 45055]]",8192,2715,5477,0.6685791015625,5477,50000,16252,33748,0.08854814292863011
twemcache|128|random|4,twemcache,128,random,4,complete,,test,"[[32768, 36863], [40960, 45055]]",8192,2738,5454,0.665771484375,5454,50000,16259,33741,0.09267859114333987
twemcache|128|random|5,twemcache,128,random,5,complete,,test,"[[32768, 36863], [40960, 45055]]",8192,2717,5475,0.6683349609375,5475,50000,16252,33748,0.06000749208033085
twemcache|128|random|6,twemcache,128,random,6,complete,,test,"[[32768, 36863], [40960, 45055]]",8192,2719,5473,0.6680908203125,5473,50000,16224,33776,0.09206584002822638
twemcache|128|random|7,twemcache,128,random,7,complete,,test,"[[32768, 36863], [40960, 45055]]",8192,2736,5456,0.666015625,5456,50000,16330,33670,0.06051882216706872
twemcache|128|random|8,twemcache,128,random,8,complete,,test,"[[32768, 36863], [40960, 45055]]",8192,2704,5488,0.669921875,5488,50000,16309,33691,0.09069318603724241
twemcache|128|random|9,twemcache,128,random,9,complete,,test,"[[32768, 36863], [40960, 45055]]",8192,2717,5475,0.6683349609375,5475,50000,16241,33759,0.06062564393505454
twemcache|128|sieve|none,twemcache,128,sieve,,complete,,test,"[[32768, 36863], [40960, 45055]]",8192,2332,5860,0.71533203125,5860,50000,13881,36119,0.22803194681182504
twemcache|32|lru|none,twemcache,32,lru,,complete,,test,"[[32768, 36863], [40960, 45055]]",8192,2039,6153,0.7510986328125,6153,50000,12119,37881,0.08426728891208768
