capacity,informativeness_stratum,stratum_order,method,method_order,n_decisions,mean_expected_random_regret,mean_regret,optimal_selection_rate
128,Q4,4,clean_linear,2,49138,0.029590292899588914,0.37885139810330093,0.622980178273434
128,Q4,4,clean_pairwise_logistic,3,49138,0.029590292899588914,0.013981033009076478,0.9864666856607921
128,Q4,4,frozen_hgb,4,49138,0.029590292899588914,0.12025316455696203,0.8802149049615369
256,Z,0,uniform_random,0,366836,0.0,0.0,1.0
256,Z,0,lru,1,366836,0.0,0.0,1.0
256,Z,0,clean_linear,2,366836,0.0,0.0,1.0
256,Z,0,clean_pairwise_logistic,3,366836,0.0,0.0,1.0
256,Z,0,frozen_hgb,4,366836,0.0,0.0,1.0
256,Q1,1,uniform_random,0,50325,0.0042710661947342275,0.0042710661947342275,0.9957289338052657
256,Q1,1,lru,1,50325,0.0042710661947342275,0.00015896671634376552,0.9998410332836563
256,Q1,1,clean_linear,2,50325,0.0042710661947342275,0.28451068057625434,0.7154893194237456
256,Q1,1,clean_pairwise_logistic,3,50325,0.0042710661947342275,0.00013909587680079483,0.9998609041231992
256,Q1,1,frozen_hgb,4,50325,0.0042710661947342275,0.20472925981122703,0.795270740188773
256,Q2,2,uniform_random,0,50324,0.006137417037596376,0.006137417037596376,0.9938625829624036
256,Q2,2,lru,1,50324,0.006137417037596376,0.00011922740640648597,0.9998807725935935
256,Q2,2,clean_linear,2,50324,0.006137417037596376,0.3093156346872268,0.6906843653127732
256,Q2,2,clean_pairwise_logistic,3,50324,0.006137417037596376,7.948493760432397e-05,0.9999205150623957
256,Q2,2,frozen_hgb,4,50324,0.006137417037596376,0.22547889674906604,0.7745211032509339
256,Q3,3,uniform_random,0,50321,0.009278556666202977,0.009278556666202977,0.990721598587071
256,Q3,3,lru,1,50321,0.009278556666202977,0.0002980862860436001,0.9997416585520955
256,Q3,3,clean_linear,2,50321,0.009278556666202977,0.3211979094215139,0.6788020905784862
256,Q3,3,clean_pairwise_logistic,3,50321,0.009278556666202977,0.00021859660976530673,0.9998211482283739
256,Q3,3,frozen_hgb,4,50321,0.009278556666202977,0.24391407165994317,0.7560859283400568
256,Q4,4,uniform_random,0,50316,0.01572771024624374,0.01572771024624374,0.9843303602482312
256,Q4,4,lru,1,50316,0.01572771024624374,0.0066181731457190555,0.9945544160903093
256,Q4,4,clean_linear,2,50316,0.01572771024624374,0.3432904046426584,0.6568487161141585
256,Q4,4,clean_pairwise_logistic,3,50316,0.01572771024624374,0.006578424358057079,0.9945941648779713
256,Q4,4,frozen_hgb,4,50316,0.01572771024624374,0.27545909849749584,0.7246203990778282
