family,capacity,horizon,scored_split_label,is_metacdn_validation_window,is_wiki2018_offline_degenerate_control,is_metakv_first_window_no_warmup,offline_lru_mean_regret,offline_lru_optimal_rate,offline_mru_mean_regret,offline_mru_optimal_rate,offline_random_mean_regret,offline_random_optimal_probability,offline_all_tied_fraction,offline_unique_winner_fraction,offline_n_decisions,cl_lru_miss_ratio,cl_mru_miss_ratio,cl_random_mean_miss_ratio,cl_random_miss_ratio_std,cl_random_n_seeds,cl_sieve_miss_ratio,offline_mru_minus_lru_regret_gap,offline_random_minus_lru_regret_gap,cl_mru_minus_lru_miss_ratio_gap,cl_random_minus_lru_miss_ratio_gap
metakv,32,4,test,False,False,True,0.00010517458981909971,0.9998948254101809,0.06360433319310055,0.9364219604543542,0.0039185751472444255,0.9960822465292385,0.882940681531342,0.0,38032,0.740966796875,0.815185546875,0.74443359375,0.0011357684607357867,20,0.7412109375,0.06349915860328145,0.0038134005574253257,0.07421875,0.0034667968749999556
metakv,32,8,test,False,False,True,0.0003155237694572991,0.9996844762305427,0.07041438788388725,0.9296119057635676,0.004412402713504417,0.9955884189629786,0.8715292385359698,0.0,38032,0.740966796875,0.815185546875,0.74443359375,0.0011357684607357867,20,0.7412109375,0.07009886411442995,0.004096878944047118,0.07421875,0.0034667968749999556
metakv,32,16,test,False,False,True,0.0005784602440050484,0.9994215397559949,0.07112431636516618,0.9289282709297434,0.004660549011358856,0.9953410943416071,0.8668489692890198,0.0,38032,0.740966796875,0.815185546875,0.74443359375,0.0011357684607357867,20,0.7412109375,0.07054585612116113,0.0040820887673538074,0.07421875,0.0034667968749999556
metakv,128,4,test,False,False,True,0.0,1.0,0.06345097210481826,0.9365490278951818,0.0010124716029163146,0.9989875283970837,0.8798869399830939,0.0,37856,0.72900390625,0.79150390625,0.71387939453125,0.0014594262313491822,20,0.6982421875,0.06345097210481826,0.0010124716029163146,0.0625,-0.015124511718749956
metakv,128,8,test,False,False,True,0.0,1.0,0.0702134404057481,0.9297865595942519,0.0011691095863271344,0.9988308904136729,0.8654374471682164,0.0,37856,0.72900390625,0.79150390625,0.71387939453125,0.0014594262313491822,20,0.6982421875,0.0702134404057481,0.0011691095863271344,0.0625,-0.015124511718749956
metakv,128,16,test,False,False,True,0.0,1.0,0.07090025359256129,0.9290997464074388,0.0012886002218934912,0.9987113997781065,0.8559013102282333,0.0,37856,0.72900390625,0.79150390625,0.71387939453125,0.0014594262313491822,20,0.6982421875,0.07090025359256129,0.0012886002218934912,0.0625,-0.015124511718749956
twemcache,32,4,test,False,False,False,0.010039895373721896,0.9899865254035773,0.052656609157441414,0.9474754947290549,0.02051738487146292,0.9795594005125631,0.5382440751406906,0.0,37849,0.7510986328125,0.954833984375,0.78258056640625,0.0024732897023128928,20,0.814697265625,0.04261671378371952,0.010477489497741023,0.2037353515625,0.031481933593749956
twemcache,32,8,test,False,False,False,0.01952495442415916,0.9807128325715343,0.08304050305159978,0.9177521202673783,0.03775859335781659,0.9626468004438691,0.3687283679885862,0.0,37849,0.7510986328125,0.954833984375,0.78258056640625,0.0024732897023128928,20,0.814697265625,0.06351554862744062,0.01823363893365743,0.2037353515625,0.031481933593749956
twemcache,32,16,test,False,False,False,0.0386535971888293,0.9622975507939444,0.1281407699014505,0.8744220454965785,0.06696428571428571,0.9347340748764829,0.24270126027107716,0.0,37849,0.7510986328125,0.954833984375,0.78258056640625,0.0024732897023128928,20,0.814697265625,0.08948717271262122,0.028310688525456415,0.2037353515625,0.031481933593749956
twemcache,128,4,test,False,False,False,0.0022760057701554735,0.9978201634877384,0.053598333066196505,0.9464657797723994,0.008213706122776086,0.9917998176791153,0.3679756371213335,0.0,31195,0.6204833984375,0.94921875,0.66876220703125,0.002320688122974144,20,0.71533203125,0.05132232729604103,0.005937700352620612,0.3287353515625,0.04827880859375
twemcache,128,8,test,False,False,False,0.004776406475396698,0.9954479884596891,0.08478922904311588,0.9154992787305658,0.015624248677672705,0.9844418676871294,0.2046802372175028,0.0,31195,0.6204833984375,0.94921875,0.66876220703125,0.002320688122974144,20,0.71533203125,0.08001282256771919,0.010847842202276007,0.3287353515625,0.04827880859375
twemcache,128,16,test,False,False,False,0.010642731206924187,0.9899342843404392,0.13104664209007855,0.8698188812309665,0.02891514064753967,0.9713503265747716,0.10174707485173906,0.0,31195,0.6204833984375,0.94921875,0.66876220703125,0.002320688122974144,20,0.71533203125,0.12040391088315436,0.018272409440615485,0.3287353515625,0.04827880859375
wiki2018,32,4,test,False,True,False,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,49968,1.0,1.0,1.0,0.0,20,1.0,0.0,0.0,0.0,0.0
wiki2018,32,8,test,False,True,False,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,49968,1.0,1.0,1.0,0.0,20,1.0,0.0,0.0,0.0,0.0
wiki2018,32,16,test,False,True,False,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,49968,1.0,1.0,1.0,0.0,20,1.0,0.0,0.0,0.0,0.0
wiki2018,128,4,test,False,True,False,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,49872,1.0,1.0,1.0,0.0,20,1.0,0.0,0.0,0.0,0.0
wiki2018,128,8,test,False,True,False,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,49872,1.0,1.0,1.0,0.0,20,1.0,0.0,0.0,0.0,0.0
wiki2018,128,16,test,False,True,False,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,49872,1.0,1.0,1.0,0.0,20,1.0,0.0,0.0,0.0,0.0
